Time,Sound Velocity ,Pressure,Depth,Temperature ,Conductivity ,Salinity,Potential Temperature,Oxygen [mg/l],Oxygen [umol/Kg],Density
0,1492.3,1.369,1.356,12.1304,35.79051,30.8166,12.1302,4.02238,122.837,1023.3244
0.25,1492.31,1.362,1.35,12.1317,35.793672,30.8185,12.1315,4.00786,122.393,1023.3256
0.5,1492.31,1.356,1.344,12.1405,35.777739,30.7961,12.1403,3.99377,121.965,1023.3066
0.75,1492.31,1.357,1.344,12.1569,35.738385,30.745,12.1567,3.98219,121.617,1023.2639
1,1492.29,1.364,1.352,12.1653,35.706048,30.7071,12.1651,3.9729,121.337,1023.2331
1.25,1492.29,1.375,1.362,12.1634,35.706296,30.709,12.1632,3.97787,121.488,1023.2349
1.5,1492.32,1.377,1.364,12.1619,35.735596,30.7382,12.1617,3.9774,121.471,1023.2579
1.75,1492.34,1.37,1.358,12.173,35.730948,30.7246,12.1729,3.97743,121.474,1023.2452
2,1491.34,1.36,1.347,12.1628,34.868991,29.9122,12.1628,4.00249,121.474,1022.6168
2.25,1490.29,1.356,1.343,11.8812,34.57332,29.8543,11.8811,4.00995,122.541,1022.6236
2.5,1489.37,1.361,1.349,11.5226,34.554897,30.126,11.5224,3.99368,122.011,1022.8984
2.75,1488.8,1.372,1.36,11.304,34.544958,30.2949,11.3039,3.98192,121.632,1023.0679
3,1488.5,1.378,1.365,11.1904,34.536719,30.3804,11.1902,4.05357,123.81,1023.1541
3.25,1488.35,1.373,1.361,11.1324,34.534159,30.4258,11.1322,4.23965,129.488,1023.1994
3.5,1488.28,1.358,1.346,11.1044,34.533551,30.4483,11.1042,4.52108,138.08,1023.2217
3.75,1488.24,1.346,1.333,11.0914,34.53013,30.4558,11.0912,4.86865,148.694,1023.2297
4,1488.22,1.342,1.329,11.0841,34.527625,30.4593,11.0839,5.24245,160.11,1023.2337
4.25,1488.2,1.349,1.336,11.0794,34.523348,30.459,11.0793,5.6113,171.375,1023.2343
