Time,Sound Velocity,"Pressure, Strain Gauge [db]",Depth,Temperature ,Conductivity,Salinity,Potential Temperature ,Oxygen [mg/l],Oxygen [umol/Kg],Density
0,1490.99,0.878,0.87,12.3816,34.076857,28.9892,12.3815,9.79824,299.65,1021.8605
0.25,1490.91,0.882,0.874,12.3776,34.016571,28.9355,12.3775,9.70741,296.884,1021.8197
0.5,1490.84,0.882,0.874,12.374,33.964646,28.8893,12.3739,9.59636,293.498,1021.7846
0.75,1490.87,0.877,0.869,12.3729,33.990028,28.9141,12.3727,9.45316,289.113,1021.804
1,1490.87,0.872,0.864,12.3744,33.989603,28.9125,12.3743,9.31241,284.808,1021.8025
1.25,1490.85,0.868,0.86,12.3765,33.967135,28.8898,12.3764,9.17198,280.519,1021.7845
1.5,1490.8,0.866,0.858,12.3635,33.952383,28.8859,12.3633,9.0386,276.439,1021.7838
1.75,1490.7,0.865,0.857,12.3268,33.948017,28.9099,12.3267,8.92793,273.048,1021.8091
2,1490.61,0.863,0.855,12.292,33.941586,28.9307,12.2919,8.8518,270.714,1021.8315
2.25,1490.53,0.86,0.852,12.2655,33.929754,28.94,12.2654,8.81557,269.602,1021.8435
2.5,1490.46,0.858,0.85,12.2443,33.92126,28.9484,12.2441,8.778,268.451,1021.8539
2.75,1490.41,0.857,0.849,12.2269,33.916529,28.9573,12.2268,8.75638,267.787,1021.8639
3,1490.37,0.857,0.849,12.2117,33.9084,28.9614,12.2115,8.7339,267.098,1021.8698
3.25,1490.32,0.856,0.848,12.1972,33.896996,28.9618,12.1971,8.72476,266.818,1021.8728
3.5,1490.27,0.857,0.849,12.1825,33.888929,28.9655,12.1824,8.71372,266.479,1021.8783
3.75,1490.22,0.862,0.854,12.1686,33.879165,28.967,12.1684,8.70435,266.191,1021.882
4,1490.19,0.868,0.86,12.1577,33.871524,28.9682,12.1576,8.69588,265.931,1021.8849
4.25,1490.17,0.873,0.865,12.1494,33.877954,28.9807,12.1493,8.68167,265.494,1021.8961
4.5,1490.15,0.873,0.865,12.1415,33.874255,28.9833,12.1414,8.675,265.289,1021.8996
4.75,1490.12,0.87,0.862,12.1306,33.874863,28.9924,12.1305,8.65594,264.704,1021.9086
5,1490.1,0.866,0.858,12.1164,33.883538,29.0116,12.1163,8.64381,264.328,1021.926
5.25,1490.05,0.865,0.857,12.1009,33.881902,29.022,12.1008,8.62771,263.833,1021.9369
5.5,1490.01,0.867,0.859,12.0879,33.87135,29.0221,12.0878,8.61881,263.56,1021.9393
5.75,1489.99,0.87,0.862,12.0785,33.876324,29.0341,12.0784,8.59933,262.962,1021.9503
6,1489.99,0.87,0.862,12.0705,33.890215,29.0535,12.0704,8.57814,262.31,1021.9667
6.25,1489.97,0.866,0.858,12.0604,33.898042,29.0688,12.0603,8.56898,262.026,1021.9804
6.5,1489.94,0.86,0.852,12.0458,33.906355,29.0881,12.0457,8.56678,261.954,1021.9979
6.75,1489.91,0.856,0.848,12.0302,33.912121,29.1057,12.0301,8.56432,261.875,1022.0144
7,1489.88,0.855,0.847,12.0164,33.915096,29.1193,12.0163,8.54995,261.432,1022.0274
7.25,1489.85,0.858,0.85,12.0046,33.914854,29.1283,12.0045,8.54652,261.325,1022.0365
7.5,1489.82,0.865,0.857,11.9941,33.910912,29.1327,11.994,8.53745,261.046,1022.0418
7.75,1489.79,0.873,0.865,11.9852,33.910913,29.1396,11.9851,8.52776,260.748,1022.0488
8,1489.78,0.878,0.87,11.9776,33.918013,29.1524,11.9775,8.52272,260.591,1022.0601
8.25,1489.77,0.878,0.87,11.9698,33.921109,29.1614,11.9697,8.51064,260.22,1022.0685
8.5,1489.75,0.874,0.866,11.96,33.924811,29.1726,11.9599,8.49675,259.792,1022.0789
8.75,1489.72,0.868,0.86,11.9486,33.93167,29.1881,11.9485,8.48467,259.419,1022.0929
9,1489.71,0.86,0.852,11.9372,33.943082,29.2078,11.9371,8.47364,259.078,1022.1102
9.25,1489.68,0.856,0.848,11.9265,33.946422,29.2194,11.9264,8.46221,258.726,1022.1211
9.5,1489.65,0.855,0.847,11.9173,33.934405,29.2151,11.9172,8.43758,257.973,1022.1194
9.75,1489.6,0.859,0.851,11.91,33.911164,29.1987,11.9099,8.4277,257.674,1022.108
10,1489.57,0.863,0.855,11.9048,33.897695,29.1899,11.9047,8.41261,257.214,1022.1021
10.25,1489.57,0.869,0.861,11.901,33.901821,29.1968,11.9009,8.40315,256.923,1022.1082
10.5,1489.59,0.872,0.864,11.8975,33.924818,29.2215,11.8974,8.39223,256.584,1022.1279
10.75,1489.6,0.872,0.864,11.8938,33.948064,29.2466,11.8937,8.37543,256.065,1022.148
11,1489.6,0.869,0.861,11.889,33.956989,29.2589,11.8889,8.35939,255.573,1022.1585
11.25,1489.59,0.863,0.855,11.8828,33.958082,29.2648,11.8827,8.33434,254.805,1022.1641
