Time,Sound Velocity,"Pressure, Strain Gauge [db]",Depth,Temperature ,Conductivity,Salinity,Potential Temperature ,Oxygen [mg/l],Oxygen [umol/Kg],Density
0,1491.88,1.801,1.785,12.1376,35.398887,30.4364,12.1374,4.34668,132.779,1023.0303
0.25,1491.85,1.793,1.777,12.1233,35.40216,30.4511,12.1231,4.33224,132.336,1023.0443
0.5,1491.83,1.775,1.758,12.1169,35.395186,30.4497,12.1167,4.32777,132.199,1023.0443
0.75,1491.84,1.751,1.734,12.125,35.391667,30.4397,12.1248,4.30797,131.596,1023.035
1,1491.92,1.725,1.709,12.1589,35.392218,30.4127,12.1587,4.28195,130.804,1023.0077
1.25,1492.04,1.705,1.69,12.2017,35.398879,30.3843,12.2015,4.26011,130.141,1022.9777
1.5,1492.13,1.699,1.683,12.2345,35.408937,30.3673,12.2342,4.24287,129.617,1022.9585
1.75,1492.15,1.709,1.694,12.2487,35.395541,30.343,12.2485,4.22491,129.071,1022.9371
2,1492.14,1.733,1.717,12.2524,35.377088,30.3225,12.2522,4.20921,128.593,1022.9206
2.25,1492.13,1.759,1.743,12.2501,35.371412,30.3189,12.2499,4.21993,128.921,1022.9184
2.5,1492.12,1.776,1.759,12.2417,35.379435,30.3333,12.2415,4.21281,128.702,1022.9312
2.75,1492.13,1.778,1.761,12.2295,35.415481,30.3775,12.2293,4.19918,128.281,1022.9677
3,1492.14,1.765,1.749,12.2241,35.437955,30.4033,12.2239,4.18485,127.84,1022.9886
3.25,1492.12,1.745,1.729,12.2179,35.437956,30.4084,12.2177,4.17702,127.601,1022.9936
3.5,1492.1,1.723,1.707,12.2071,35.442527,30.4215,12.2069,4.14799,126.712,1023.0057
3.75,1492.1,1.709,1.694,12.2064,35.444503,30.4239,12.2062,4.13662,126.365,1023.0076
4,1492.12,1.703,1.688,12.2174,35.439932,30.4107,12.2171,4.11623,125.743,1022.9953
4.25,1492.12,1.704,1.689,12.2216,35.431472,30.3992,12.2214,4.10774,125.485,1022.9857
